qid,question_msa,gold_answer,dialect_candidate,backtranslation_msa,sub_variety,requested_model,translation_model,backtranslation_model,n_exemplars,coda,temperature
wahm_000,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين,الأوروغواي فازت ببطولة كأس العالم لكرة القدم كم مرة؟,كم مرة فازت الأوروغواي ببطولة كأس العالم لكرة القدم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_001,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك",منو مكتشف المرو أو الكوارتز؟,من هو مكتشف المرو أو الكوارتز؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_002,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري,الجنين بتصل بالرحم كيف؟,كيف يتصل الجنين بالرحم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_003,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية,مسجد السلطان عبد المجيد موجود وين؟,أين يقع مسجد السلطان عبد المجيد؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_004,ما عاصمة جورجيا؟,تبليسي,عاصمة جورجيا شنو؟,ما عاصمة جورجيا؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_005,ما هو عدد آيات سورة الكهف ؟,110,سورة الكهف فيها كم آية؟,كم عدد آيات سورة الكهف؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_006,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه,لاعب كمال الأجسام ناصر السنباطي مات بسبب شنو؟,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_007,من هو مخترع المحرك البخاري؟,جيمس واط,منو مخترع المحرك البخاري؟,من هو مخترع المحرك البخاري؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_008,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948,وثيقة إعلان قيام دولة إسرائيل اتكتبت متين؟,متى كُتبت وثيقة إعلان قيام دولة إسرائيل؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_009,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق,كان اسم حصان الرسول صلى الله عليه وسلم شنو؟,ما اسم حصان الرسول صلى الله عليه وسلم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_010,من رئيس ألمانيا النازية في الحرب العالمية الثانية؟,أدولف هتلر,منو كان رئيس ألمانيا النازية في الحرب العالمية الثانية؟,من كان رئيس ألمانيا النازية خلال الحرب العالمية الثانية؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_011,ما هو الطّيف الكهرومغناطيسي؟,"مصطلح عام يشمل جميع الترددات الممكنة من الإشعاعات الكهرومغناطيسية, خطوط الأشعة الصادرة من جسم أسود عند درجة حرارة معينة",شنو الطيف الكهرومغناطيسي؟,ما هو الطيف الكهرومغناطيسي؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_012,أين تقع مدينة بينيفنتو؟,"جنوب إيطاليا في إقليم كامبانيا, جنوب إيطاليا",مدينة بينيفنتو موجودة وين؟,أين تقع مدينة بينيفنتو؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_013,ما هي المحاسبة المالية ؟,تسجيل وتبويب المدخلات والعمليات التي تمثل الأحداث الاقتصادية وفق نظام معين,المحاسبة المالية شنو؟,ما هي المحاسبة المالية؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_014,اين ولد صدام حسين؟,قرية العوجة,صدام حسين اتولد وين؟,أين وُلد صدام حسين؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_015,كم يتراوح عدد بيوض السلمندر التي تضعها الانثى؟,"500 إلى 600 بيضه, بين 500 إلى 600",عدد بيوض السلمندر البتضعها الأنثى بيتراوح بين كم وكم؟,يتراوح عدد بيض السلمندر الذي تضعه الأنثى بين كم وكم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_016,لماذا وقع  الميثاق الأعظم أو الماجنا كارتا؟,محاولةً للحد من نفوذه وحماية امتيازاتهم قانونياً,ليه اتوقع الميثاق الأعظم أو الماجنا كارتا؟,لماذا وُقِّع الميثاق الأعظم، أو الماجنا كارتا؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_017,ما هي المدينة التي تحوي على أكبر مصنع للحديد والصلب في أفريقيا؟,عنابة,شنو المدينة الفيها أكبر مصنع للحديد والصلب في أفريقيا؟,ما المدينة التي يوجد فيها أكبر مصنع للحديد والصلب في أفريقيا؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
