qid,msa_question,dialect_question,sub_variety,notes
wahm_015,كم يتراوح عدد بيوض السلمندر التي تضعها الانثى؟,كام بيضه موجوده جوه أنثا السالامنضر,,
wahm_008,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,أمتا أتعمل التصالح مابان مصر و أسرأيل,,"WARNING: meaning changed — original asks about Israel declaration of independence; translation asks about Egypt-Israel peace treaty. Needs rewrite."
wahm_003,أين يقع مسجد السلطان عبد المجيد؟,فين مكان مسجد عبد المجيد,,
wahm_001,من هو مكتشف المرو أو الكوارتز ؟,مين أكتشف المرو أو الكوارتز,,
wahm_011,ما هو الطّيف الكهرومغناطيسي؟,اه هيا ال موجات الكهروكخناطيسي,,"Possible meaning shift: MSA says spectrum; translation says waves. Also likely typo in الكهروكخناطيسي."
wahm_026,كم يبلغ أقصى عمق لبحر قزوين؟,اه عمق البحر القزوني,,
wahm_024,متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟,أمتا أول بتوله لكاس غرب أسيه حاصالت,,
wahm_014,اين ولد صدام حسين؟,هو صدام حسين أتواد فين,,
wahm_133,أي عضو في الجسم مسؤول على نقل الأوكسيجين؟,أنهي عضو في الجسم مسؤول عن نءل الأوكسجين,,
wahm_000,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,كام ماره الأوروغواي كسبت كاس العالم,,
