qid,variety,condition,model,family,question,gold_answer,answer,pivot_question,model_id,temperature,resolved_model_id,pivot_model_id,timestamp,error
wahm_000,msa,direct,fanar,arabic_centric,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين,فازت الأوروغواي بكأس العالم لكرة القدم مرتين، في عامي 1930 و1950.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:11+00:00,
wahm_001,msa,direct,fanar,arabic_centric,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك","المكتشف المعروف للمرو، وهو نوع من الكوارتز، ليس شخص واحد. ولكن يُعتبر الفيلسوف اليوناني ثيوفراستوس (371-287 قبل الميلاد) أول من وصفه وسمّاه ""كريستالوس""، والتي تعني ""ثلج صلب"" باللغة اليونانية. ومع ذلك، فإن مصطلح ""الكوارتز"" يأتي من الكلمة الألمانية ""Quarz"" التي تعني الرمال الصلبة، وقد استخدمها العالم الألماني جورج أبراهام هيرمان في القرن الثامن عشر. لكن يجب التنويه إلى أن الكوارتز كان معروفاً ومستخدماً منذ العصور القديمة في العديد من الثقافات حول العالم.",,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:13+00:00,
wahm_002,msa,direct,fanar,arabic_centric,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري,"يتصل الجنين بالرحم عبر المشيمة، وهي عضو مؤقت ينمو خلال فترة الحمل. تتكون المشيمة من الأنسجة من كلا الوالدين - الأنسجة الأمومية والجنينية - وتعمل كوسيط بين دم الأم ودم الجنين.

تتصل المشيمة بالرحم من خلال المشيمة الأمومية، والتي تتكون من الأوعية الدموية للأم. يتصل المشيمة الجنيني بالجنين من خلال الحبل السري، الذي يحمل الأكسجين والمواد المغذية من المشيمة إلى الجنين ويحمل النفايات من الجنين إلى المشيمة.

تسمح المشيمة بتبادل الغازات والمواد المغذية والفضلات بين دم الأم ودم الجنين دون خلط الدمين. وهذا يسمح للجنين بالحصول على الأكسجين والمواد المغذية التي يحتاجها للنمو والتنمية، بينما يتم إزالة النفايات من جسمه.

بشكل عام، يوفر الاتصال بين الجنين والرحم من خلال المشيمة بيئة آمنة ومغذية للجنين لتنمو وتتطور خلال فترة الحمل.",,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:14+00:00,
wahm_003,msa,direct,fanar,arabic_centric,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية,يقع مسجد السلطان عبد المجيد في إسطنبول، تركيا. وهو أحد المساجد التاريخية التي بنيت خلال فترة الحكم العثماني.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:14+00:00,
wahm_004,msa,direct,fanar,arabic_centric,ما عاصمة جورجيا؟,تبليسي,عاصمة جورجيا هي تبليسي.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:14+00:00,
wahm_005,msa,direct,fanar,arabic_centric,ما هو عدد آيات سورة الكهف ؟,110,عدد آيات سورة الكهف هو 110 آيات.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:14+00:00,
wahm_006,msa,direct,fanar,arabic_centric,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه,توفي لاعب كمال الأجسام المصري ناصر السنباطي بسبب مضاعفات جراحة تجميلية في المعدة. حدثت الوفاة في عام 2019. يُذكر أنه كان من أبرز لاعبي كمال الأجسام في مصر. ومع ذلك، يجب التنويه إلى أن المعلومات الطبية الدقيقة قد تتطلب التحقق من مصادر موثوقة.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:14+00:00,
wahm_007,msa,direct,fanar,arabic_centric,من هو مخترع المحرك البخاري؟,جيمس واط,المخترع الذي يُنسب إليه الفضل بشكل أساسي في تطوير المحرك البخاري هو توماس نيوكومن، لكن يجب التنويه إلى أن هناك سلسلة من الابتكارات والتحسينات التي أدت إلى المحرك البخاري الحديث. يعتبر جيمس وات، الذي قام بتحسينات كبيرة على تصميم نيوكومن، أحد الشخصيات الرئيسية الأخرى في تاريخ المحرك البخاري.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:14+00:00,
wahm_008,msa,direct,fanar,arabic_centric,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948,تمت كتابة إعلان قيام دولة إسرائيل في 14 مايو 1948.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:14+00:00,
wahm_009,msa,direct,fanar,arabic_centric,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق,"الجواب هو: البراق. لكن يجب التنويه إلى أن البراق ليس حصانًا، بل هو دابة سماوية حمل النبي محمد صلى الله عليه وسلم في رحلته المعروفة برحلة الإسراء والمعراج. أما بالنسبة لأسماء الخيول التي ركبها النبي صلى الله عليه وسلم، فقد كانت منها السَّبق، والعَبْق، والغَزَال، والذَّباب، والزَّباب، والغَزَال، والرَّحْل، والرَّحْل الأبيض، والرَّحْل الأحمر، والرَّحْل الأسود. ولكن أشهرها هو ""السَّبق"".",,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:21:14+00:00,
