qid,variety,condition,model,family,question,gold_answer,answer,pivot_question,model_id,temperature,resolved_model_id,pivot_model_id,timestamp,error,layer1_coverage,layer1_decision,degeneration_reasons,layer2_hallucination_probability,combined_decision,combined_label
wahm_000,msa,direct,allam,arabic_centric,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين,فازت الأوروغواي ببطولة كأس العالم لكرة القدم مرتين، في عامي 1930 و1950. أتمنى أن تكون الإجابة مفيدة.,,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:58:52+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_001,msa,direct,allam,arabic_centric,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك","مكتشف المرو أو الكوارتز هو العالم السويدي أكسل فريدريك كرونستيدت في عام 1751. وقد أطلق عليه اسم ""مرو"" نسبة إلى جبل في النرويج.",,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:58:52+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_002,msa,direct,allam,arabic_centric,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري,يتصل الجنين بالرحم عن طريق الحبل السري الذي يحتوي على الأوعية الدموية التي تنقل الغذاء والأكسجين من الأم إلى الجنين، وكذلك تنقل الفضلات من الجنين إلى الأم لتتم إزالتها. كما أن المشيمة، وهي عضو يتكون في الرحم خلال الحمل، تلعب دورًا أساسيًا في هذه العملية.,,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:58:53+00:00,,1.000,clean,,,clean,0
wahm_003,msa,direct,allam,arabic_centric,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية,"في محافظة العلا. يُعتبر المسجد من أقدم المساجد التاريخية في المدينة، ويتميز بتصميمه المعماري الفريد الذي يعكس التراث الإسلامي العريق. 

أرجو أن تكون إجابتي مفيدة. إذا كانت لديك أي استفسارات وتعليقات حول إجابتي أرجو أن تبلغني بها.",,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:58:54+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_004,msa,direct,allam,arabic_centric,ما عاصمة جورجيا؟,تبليسي,"عاصمة جورجيا هي تبليسي. تقع تبليسي في جنوب البلاد وهي أكبر مدينة في جورجيا، وتعتبر مركزًا ثقافيًا واقتصاديًا هامًا. تتميز المدينة بتاريخها العريق ومعالمها التاريخية مثل كاتدرائية تسميندا ساميبا، وقلعة ناريكالا، وجسر السلام الذي يعد من أبرز المعالم الحديثة في المدينة.

جورجيا هي دولة تقع في منطقة القوقاز، وتتميز بتنوعها الثقافي والطبيعي. اللغة الرسمية في جورجيا هي الجورجية، وهي لغة فريدة من نوعها. الشعب الجورجي معروف بكرمه وترحيبه بالضيوف، مما يجعل زيارة جورجيا تجربة مميزة.

تبليسي ليست فقط العاصمة، بل هي أيضًا وجهة سياحية شهيرة، حيث يمكن للزوار الاستمتاع بالطبيعة الخلابة، وزيارة المتاحف، وتجربة المأكولات التقليدية الجورجية التي تشمل أطباقًا مثل الخينكالي (نوع من الزلابية) والخاتشابوري (نوع من الخبز المحشو بالجبن).

بهذا، تكون تبليسي ليست فقط عاصمة جورجيا، بل هي أيضًا قلب الثقافة والتاريخ في البلاد، مما يجعلها وجهة مميزة للزوار من جميع أنحاء العالم.",,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:58:56+00:00,,1.000,clean,,,clean,0
wahm_005,msa,direct,allam,arabic_centric,ما هو عدد آيات سورة الكهف ؟,110,عدد آيات سورة الكهف هو 110 آيات كريمة. سورة الكهف هي إحدى السور المكية التي نزلت على النبي محمد صلى الله عليه وسلم في مكة المكرمة، وهي السورة رقم 18 في ترتيب المصحف الشريف. تحتوي السورة على العديد من القصص والعبر التي تهدف إلى توجيه المسلمين نحو القيم والأخلاق الإسلامية الصحيحة.,,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:58:57+00:00,,1.000,clean,,,clean,0
wahm_006,msa,direct,allam,arabic_centric,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه,توفي لاعب كمال الأجسام المصري ناصر السنباطي بعد إصابته بسكتة قلبية خلال منافسات بطولة العالم في لاس فيغاس بالولايات المتحدة الأمريكية. وقد أثارت وفاته حزنًا واسعًا في الأوساط الرياضية المصرية والعربية، حيث كان معروفًا بتفانيه في التدريب والتزامه بالرياضة. وقد عبر العديد من الرياضيين والمشجعين عن حزنهم العميق لفقدان لاعب شاب واعد في مجال كمال الأجسام.,,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:58:58+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_007,msa,direct,allam,arabic_centric,من هو مخترع المحرك البخاري؟,جيمس واط,"مخترع المحرك البخاري هو المهندس والمخترع الاسكتلندي جيمس واط. في القرن الثامن عشر، كان هناك العديد من المحاولات لتطوير محركات بخارية، ولكن جيمس واط هو الذي نجح في تحسين تصميم المحرك البخاري بشكل كبير، مما جعله أكثر كفاءة وفعالية.

واط قام بإضافة مكثف منفصل إلى المحرك البخاري، مما أدى إلى تقليل فقدان الحرارة وزيادة كفاءة المحرك. هذا الابتكار كان له تأثير كبير على الثورة الصناعية، حيث ساهم في تشغيل الآلات والمصانع بكفاءة أكبر، مما أدى إلى زيادة الإنتاج الصناعي وتحسين الحياة اليومية في ذلك الوقت.

إليك بعض التفاصيل الإضافية حول جيمس واط:
- وُلد جيمس واط في 19 يناير 1736 في غرينوك، اسكتلندا.
- درس الهندسة في جامعة غلاسكو.
- عمل في البداية كمهندس ميكانيكي، حيث قام بإصلاح الآلات البخارية.
- حصل على براءة اختراع لمحرك البخار المحسن في عام 1769.
- توفي في 25 أغسطس 1819.

بفضل اختراعه، يُعتبر جيمس واط أحد أبرز الشخصيات في تاريخ الهندسة والتكنولوجيا.",,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:59:01+00:00,,1.000,clean,,,clean,0
wahm_008,msa,direct,allam,arabic_centric,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948,تمت كتابة وثيقة إعلان قيام دولة إسرائيل في 14 مايو 1948، وهو اليوم الذي سبق انتهاء الانتداب البريطاني على فلسطين. وقد تم الإعلان عن قيام دولة إسرائيل في نفس اليوم والساعة، وهي الساعة الرابعة من بعد ظهر الخامس عشر من شهر مايو سنة 1948، وذلك حسب التقويم العبري.,,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:59:02+00:00,,0.750,defer,,0.013994,clean,0
wahm_009,msa,direct,allam,arabic_centric,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق,الإجابة هي : السّكب. و السّكب هو أول فرس تملكه الرسول صلى الله عليه وسلم في المدينة، وقد كان سريع الجري، وقد سماه الرسول صلى الله عليه وسلم بهذا الاسم نظرًا لسرعته في الجري.,,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T18:59:02+00:00,,0.000,hallucinated,,,hallucinated,1
