sample_id,qid,variety,condition,model,family,question,gold_answer,answer,pivot_question,model_id,temperature,resolved_model_id,pivot_model_id,timestamp,error,layer1_coverage,layer1_decision,degeneration_reasons,layer2_hallucination_probability,layer2_decision_threshold,combined_decision,combined_label,headline_failure_label,source_file,audit_route,threshold_band
audit_001,wahm_231,msa,direct,qwen3-8b,multilingual,ما هو مجمع الكرادلة؟,"الهيئة الجامعة لكافة الكرادلة الناخبين - أي أقل من ثمانين عام - في الكنيسة الكاثوليكية. ويشكل أعلى هيئة استشارية في الكرسي الرسولي, الهيئة الجامعة لكافة الكرادلة الناخبين - أي أقل من ثمانين عام - في الكنيسة الكاثوليكية","مجمع الكرادلة (بالإنجليزية: **Papal Conclave**) هو عملية رسمية تُجرى من قبل **الأساقفة الكاثوليكية** الذين ينتخبون **البابا الجديد** في حالة وفاة البابا الحالي أو استقالته. هذا الإجراء يُعتبر من أبرز مهام الكنيسة الكاثوليكية، ويُنظم وفقًا لـ **القانون الأسقفي** (Canon Law) الذي يُحدد الإجراءات والقواعد التي يجب اتباعها.

### أبرز النقاط عن مجمع الكرادلة:

1. **الهدف**:
   - اختيار البابا الجديد من بين الأساقفة المشاركين في المجمع.

2. **المشاركين**:
   - يشمل المجمع **الأساقفة الكاثوليكية** الذين ينتمون إلى **الكليات الأسقفية** (College of Cardinals)، وغالبًا ما يُسمى ""الكرادلة"".
   - يُحدد عدد الكرادلة من قبل البابا الحالي، وعادة ما يكون بين 110 و120 أسقفًا.

3. **الإجراءات**:
   - يُعقد المجمع في **القاعة السيناتورية** في **القديسة كاتدرائية القديس بطرس** في روما.
   - يُمنع أي شخص غير الكرادلة من الدخول إلى القاعة أثناء عملية الانتخاب.
   - يتم اختيار البابا الجديد عبر **التصويت السري**، ويُكرر التصويت حتى يُوافق 2/3 من الكرادلة على مرشح واحد.

4. **النتائج**:
   - بمجرد اختيار البابا الجديد، يُعلن عن اسمه في **القاعة السيناتورية**، ويُعلن أيضًا في **القديسة كاتدرائية القديس بطرس** عبر **النار والدخان** (النار التي تُستخدم في إشعالها في القاعة، حيث تُظهر الدخان الأسود أن التصويت لم يُوافق، والدخان الأبيض أن البابا قد تم اختياره).

5. **الوقت**:
   - يُعقد المجمع عادةً بعد وفاة البابا أو استقالته",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:26:08+00:00,,0.462,defer,,0.955047,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/qwen3_8b/scores_combined.csv,layer2_hallucination,far
audit_002,wahm_021,egyptian,direct,fanar,arabic_centric,إيه جنسية الفيلسوف ميشال فوكو؟,فرنسي,"إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟
إيه جنسية الفيلسوف ميشال فوكو؟",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:45:46+00:00,,0.000,defer,,0.825503,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/fanar/scores_combined.csv,layer2_hallucination,far
audit_003,wahm_245,egyptian,direct,gpt55,multilingual,إمتى حصلت دولة الإمارات على استقلالها؟,2 ديسمبر 1971,حصلت دولة الإمارات العربية المتحدة على استقلالها في **2 ديسمبر 1971**، وهو اليوم الذي أُعلن فيه قيام الاتحاد، ويُحتفل به سنويًا كـ **اليوم الوطني الإماراتي**.,,gpt-5.5,,gpt-5.5,,2026-08-17T19:01:45+00:00,,1.000,defer,,0.056077,0.235000,clean,0,0,results/judge_v2_rescored_e9c5abb/gpt55/scores_combined.csv,layer2_clean,near_0.20
audit_004,wahm_250,gulf,direct,fanar,arabic_centric,وش هو تصريح 28 فبراير 1922؟,"تصريح اعلنته بريطانيا من طرف واحد في لندن والقاهرة في هذا التاريخ, تصريح اعلنته بريطانيا من طرف واحد في لندن والقاهرة في هذا التاريخ.[1][2] اعلنت فيه انهاء الحماية البريطانية على مصر","وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش هو تصريح 28 فبراير 1922؟
وش",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:45:14+00:00,,0.091,defer,,0.956197,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/fanar/scores_combined.csv,layer2_hallucination,far
audit_005,wahm_045,egyptian,direct,qwen3-8b,multilingual,مين هي أنغريت كرامب كارينباور؟,سياسية ألمانية تشغل منصب زعيمة الاتحاد الديمقراطي المسيحي,"أنغريت كرامب كارينباور (Anke Karrenbauer) هي سياسية ألمانية، وتعتبر من الشخصيات البارزة في الحزب الديموقراطي الاجتماعي (SPD) في ألمانيا. تولت منصب **الرئيسة المؤقتة للحزب الديموقراطي الاجتماعي (SPD)** في ألمانيا في عام 2020، بعد استقالة أولاف شولتز، الذي كان رئيس الحزب آنذاك.

### بعض المعلومات الأساسية عن أنغريت كرامب كارينباور:

- **الاسم الكامل**: أنغريت كرامب كارينباور (Anke Karrenbauer)
- **العمر**: من مواليد عام 1964
- **المكان الميلاد**: ألمانيا (تحديدًا في ولاية بافاريا)
- **الحزب**: الحزب الديموقراطي الاجتماعي (SPD)
- **المنصب الحالي**: رئيسة الحزب الديموقراطي الاجتماعي (SPD) في ألمانيا (من عام 2020 حتى الآن)
- **المنصب السابق**: كانت تشغل منصب **وزيرة للبيئة والطاقة** في حكومة ولاية بافاريا (من عام 2013 إلى 2018)
- **التعليم**: حصلت على درجة البكالوريوس في العلوم السياسية من جامعة ميونخ

### دورها في السياسة الألمانية:
أنغريت كرامب كارينباور تُعتبر من القادة النسويين في الحزب الديموقراطي الاجتماعي، وتعمل على تعزيز دور المرأة في السياسة. كما أنها تُعرف بنهجها الليبرالي والمنفتح على التغيير، وتعمل على تجديد الحزب وجعله أكثر جذبًا للشباب والنساء.

### التحديات:
واجهت كرامب كارينباور تحديات داخل الحزب، خاصة بعد استقالة أولاف شولتز، حيث تولت القيادة المؤقتة للحزب، وواجهت ضغوطًا لاختيار قائد جديد للحزب، وهو ما أدى إلى ترشحها لمنصب رئيس الحزب.

إذا كنت ت",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:28:04+00:00,,0.500,defer,,0.613343,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/qwen3_8b/scores_combined.csv,layer2_hallucination,far
audit_006,wahm_030,sudanese,direct,fanar,arabic_centric,ألفرد نوبل ده منو؟,"مهندس ومخترع وكيميائي سويدي, مهندس ومخترع وكيميائي سويدي، اخترع الديناميت في سنة 1867 ومن ثم أوصى بمعظم ثروته التي جناها من الاختراع إلى جائزة نوبل التي سُميت بإسمه",ألفرد نوبل (Alfred Nobel) هو مخترع سويدي ولد في 21 أكتوبر 1833 وتوفي في 10 ديسمبر 1896. يُعرف بشكل أساسي باختراعه الديناميت، وهو مادة متفجرة استخدمت في البناء والتنقيب عن المعادن. ومع ذلك، فإن إرثه الأكثر شهرة هو إنشاء جائزة نوبل، التي تُمنح سنويًا في مجالات الفيزياء، الكيمياء، الطب، الأدب، والسلام. في وصيته، خصص نوبل معظم ثروته لإنشاء هذه الجوائز تكريمًا لعمله ولتشجيع التقدم في هذه المجالات.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:23:01+00:00,,0.500,defer,,0.798295,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/fanar_instruct/scores_combined.csv,layer2_hallucination,far
audit_007,wahm_129,egyptian,direct,gpt55,multilingual,مين الفريق اللي كسب كأس العالم 1998؟,فرنسا,فاز منتخب **فرنسا** بكأس العالم 1998.,,gpt-5.5,,gpt-5.5,,2026-08-17T19:00:46+00:00,,1.000,defer,,0.048473,0.235000,clean,0,0,results/judge_v2_rescored_e9c5abb/gpt55/scores_combined.csv,layer2_clean,near_0.20
audit_008,wahm_123,levantine,direct,allam,arabic_centric,وين توفي أبو عبد الله سفيان بن سعيد بن مسروق؟,البصرة,توفي أبو عبد الله سفيان بن سعيد بن مسروق الثوري في البصرة. سفيان الثوري هو أحد أعلام الفقه والحديث في الإسلام، وكان له دور كبير في نشر العلم الشرعي. يُعتبر سفيان الثوري من كبار العلماء في عصره، وقد ترك إرثًا علميًا كبيرًا من خلال مؤلفاته وفتاويه.,,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-17T12:42:50+00:00,,1.000,defer,,0.037304,0.235000,clean,0,0,results/judge_v2_rescored_e9c5abb/allam/scores_combined.csv,layer2_clean,near_0.20
audit_009,wahm_208,sudanese,direct,fanar,arabic_centric,اتحاد كرة القدم لكرة القدم موجود وين؟,"باريس, زيورخ",اتحاد كرة القدم، المعروف أيضًا باسم الفيفا (FIFA)، موجود في مدينة زيورخ، سويسرا.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:23:16+00:00,,1.000,defer,,0.852453,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/fanar_instruct/scores_combined.csv,layer2_hallucination,far
audit_010,wahm_067,gulf,direct,fanar,arabic_centric,متى مات هتلر؟,30 أبريل 1945,"متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟
متى مات هتلر؟",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:43:38+00:00,,0.000,degeneration,heavy_repetition,,,degeneration,,1,results/judge_v2_rescored_e9c5abb/fanar/scores_combined.csv,layer1_degeneration,not_applicable
