qid,msa_question,dialect_question,sub_variety,notes
wahm_015,كم يتراوح عدد بيوض السلمندر التي تضعها الانثى؟,كم بيضة بتحطها السلمندرة الامرأة؟,,
wahm_008,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,متى كتبو وثيقة اعلان تأسيس دولة ولاد العم؟,,"ولاد العم is a common Levantine phrase for Israel; اسرائيل can also be used"
wahm_003,أين يقع مسجد السلطان عبد المجيد؟,وين محلو لمسجد السلطان عبدالمجيد ؟,,
wahm_001,من هو مكتشف المرو أو الكوارتز ؟,مين اكتشف المرو والقوارتز؟,,
wahm_011,ما هو الطّيف الكهرومغناطيسي؟,شو هو الطيف الالكرومغناطيسي؟,,
wahm_026,كم يبلغ أقصى عمق لبحر قزوين؟,كم عمقو لبحر قزوين؟,,
wahm_024,متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟,متى اول مرة بلشو يعملو بطولة غرب اسيا للكورة؟,,
wahm_014,اين ولد صدام حسين؟,وين ولد صدام حسين؟,,
wahm_133,أي عضو في الجسم مسؤول على نقل الأوكسيجين؟,شو هو العضو بالجسم اللي مسؤول على نقل الاكسجين؟,,
wahm_000,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,كم مرة فاز المنتخب الأوروجواياني بكأس العالم لكرة القدم؟,,
