qid,question_msa,gold_answer,dialect_candidate,backtranslation_msa,sub_variety,requested_model,translation_model,backtranslation_model,n_exemplars,coda,temperature
wahm_000,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين,كم مرة فازت الأوروغواي ببطولة كأس العالم لكرة القدم؟,كم مرة فازت أوروغواي ببطولة كأس العالم لكرة القدم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_001,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك",من اللي اكتشف المرو أو الكوارتز؟,من الذي اكتشف المرو أو الكوارتز؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_002,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري,شلون يتصل الجنين بالرحم؟,كيف يتصل الجنين بالرحم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_003,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية,وين موجود مسجد السلطان عبد المجيد؟,أين يقع مسجد السلطان عبد المجيد؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_004,ما عاصمة جورجيا؟,تبليسي,وش عاصمة جورجيا؟,ما عاصمة جورجيا؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_005,ما هو عدد آيات سورة الكهف ؟,110,كم عدد آيات سورة الكهف؟,كم عدد آيات سورة الكهف؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_006,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه,وش سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_007,من هو مخترع المحرك البخاري؟,جيمس واط,من اللي اخترع المحرك البخاري؟,من اخترع المحرك البخاري؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_008,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948,متى انكتبت وثيقة إعلان قيام دولة إسرائيل؟,متى كُتبت وثيقة إعلان قيام دولة إسرائيل؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_009,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق,وش كان اسم حصان الرسول صلى الله عليه وسلم؟,ما اسم حصان الرسول صلى الله عليه وسلم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_010,من رئيس ألمانيا النازية في الحرب العالمية الثانية؟,أدولف هتلر,من كان رئيس ألمانيا النازية في الحرب العالمية الثانية؟,من كان رئيس ألمانيا النازية خلال الحرب العالمية الثانية؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_011,ما هو الطّيف الكهرومغناطيسي؟,"مصطلح عام يشمل جميع الترددات الممكنة من الإشعاعات الكهرومغناطيسية, خطوط الأشعة الصادرة من جسم أسود عند درجة حرارة معينة",وش هو الطيف الكهرومغناطيسي؟,ما هو الطيف الكهرومغناطيسي؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_012,أين تقع مدينة بينيفنتو؟,"جنوب إيطاليا في إقليم كامبانيا, جنوب إيطاليا",وين تقع مدينة بينيفنتو؟,أين تقع مدينة بينيفنتو؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_013,ما هي المحاسبة المالية ؟,تسجيل وتبويب المدخلات والعمليات التي تمثل الأحداث الاقتصادية وفق نظام معين,وش هي المحاسبة المالية؟,ما هي المحاسبة المالية؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_014,اين ولد صدام حسين؟,قرية العوجة,وين انولد صدام حسين؟,أين وُلد صدام حسين؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_015,كم يتراوح عدد بيوض السلمندر التي تضعها الانثى؟,"500 إلى 600 بيضه, بين 500 إلى 600",بين كم وكم بيضة تحط أنثى السلمندر؟,بين كم وكم بيضة تضع أنثى السمندر؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_016,لماذا وقع  الميثاق الأعظم أو الماجنا كارتا؟,محاولةً للحد من نفوذه وحماية امتيازاتهم قانونياً,ليش تم توقيع الميثاق الأعظم أو الماجنا كارتا؟,لماذا تم توقيع الميثاق الأعظم، أو الماغنا كارتا؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_017,ما هي المدينة التي تحوي على أكبر مصنع للحديد والصلب في أفريقيا؟,عنابة,وش المدينة اللي فيها أكبر مصنع للحديد والصلب في أفريقيا؟,ما المدينة التي تضم أكبر مصنع للحديد والصلب في أفريقيا؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_018,من هي أول امرأة تتقلد منصب رئيسة تحرير صحيفة الغارديان خلفًا لآلان روسبيرجير؟,كاثرين صوفي فاينر,من أول امرأة مسكت منصب رئيسة تحرير صحيفة الغارديان خلفا لآلان روسبيرجير؟,من هي أول امرأة تولت منصب رئيسة تحرير صحيفة الغارديان خلفًا لآلان روسبريدجر؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_019,من هو مؤسس حركة الجهاد الاسلامي في مصر؟,"علوى مصطفى (من حى مصر الجديدة) وإسماعيل طنطاوي (من حى المنيل) ونبيل البرعي (من حى المعادى), علوى مصطفى (من حى مصر الجديدة) وإسماعيل طنطاوي (من حى المنيل) ونبيل البرعي",من اللي أسس حركة الجهاد الإسلامي في مصر؟,من أسس حركة الجهاد الإسلامي في مصر؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
