qid,msa_question,dialect_question,sub_variety
wahm_015,كم يتراوح عدد بيوض السلمندر التي تضعها الانثى؟,بين كم وكم بيضة تحط أنثى السلمندر؟,
wahm_008,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,متى انكتبت وثيقة إعلان قيام دولة إسرائيل؟,
wahm_003,أين يقع مسجد السلطان عبد المجيد؟,وين موجود مسجد السلطان عبد المجيد؟,
wahm_001,من هو مكتشف المرو أو الكوارتز ؟,من اللي اكتشف المرو أو الكوارتز؟,
wahm_011,ما هو الطّيف الكهرومغناطيسي؟,وش يعني الطيف الكهرومغناطيسي؟,
wahm_026,كم يبلغ أقصى عمق لبحر قزوين؟,كم يوصل أقصى عمق لبحر قزوين؟,
wahm_024,متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟,متى صارت بطولة غرب آسيا لكرة القدم أول مرة؟,
wahm_014,اين ولد صدام حسين؟,وين انولد صدام حسين؟,
wahm_133,أي عضو في الجسم مسؤول على نقل الأوكسيجين؟,وش العضو اللي ينقل الأكسجين في الجسم؟,
wahm_000,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,كم مرة فازت الأوروغواي بكأس العالم لكرة القدم؟,
