qid,question_msa,gold_answer
wahm_000,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين
wahm_001,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك"
wahm_002,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري
wahm_003,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية
wahm_004,ما عاصمة جورجيا؟,تبليسي
wahm_005,ما هو عدد آيات سورة الكهف ؟,110
wahm_006,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه
wahm_007,من هو مخترع المحرك البخاري؟,جيمس واط
wahm_008,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948
wahm_009,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق
wahm_010,من رئيس ألمانيا النازية في الحرب العالمية الثانية؟,أدولف هتلر
wahm_011,ما هو الطّيف الكهرومغناطيسي؟,"مصطلح عام يشمل جميع الترددات الممكنة من الإشعاعات الكهرومغناطيسية, خطوط الأشعة الصادرة من جسم أسود عند درجة حرارة معينة"
wahm_012,أين تقع مدينة بينيفنتو؟,"جنوب إيطاليا في إقليم كامبانيا, جنوب إيطاليا"
wahm_013,ما هي المحاسبة المالية ؟,تسجيل وتبويب المدخلات والعمليات التي تمثل الأحداث الاقتصادية وفق نظام معين
wahm_014,اين ولد صدام حسين؟,قرية العوجة
wahm_015,كم يتراوح عدد بيوض السلمندر التي تضعها الانثى؟,"500 إلى 600 بيضه, بين 500 إلى 600"
wahm_016,لماذا وقع  الميثاق الأعظم أو الماجنا كارتا؟,محاولةً للحد من نفوذه وحماية امتيازاتهم قانونياً
wahm_017,ما هي المدينة التي تحوي على أكبر مصنع للحديد والصلب في أفريقيا؟,عنابة
wahm_018,من هي أول امرأة تتقلد منصب رئيسة تحرير صحيفة الغارديان خلفًا لآلان روسبيرجير؟,كاثرين صوفي فاينر
wahm_019,من هو مؤسس حركة الجهاد الاسلامي في مصر؟,"علوى مصطفى (من حى مصر الجديدة) وإسماعيل طنطاوي (من حى المنيل) ونبيل البرعي (من حى المعادى), علوى مصطفى (من حى مصر الجديدة) وإسماعيل طنطاوي (من حى المنيل) ونبيل البرعي"
wahm_020,في أي عام توفي إسحاق رابين؟,4 نوفمبر 1995
wahm_021,ما هي جنسية الفيلسوف ميشال فوكو؟,فرنسي
wahm_022,في أي عام ولد رونالد ريغان؟,"فبراير 1911, 6 فبراير 1911"
wahm_023,في أي عام  تأسس نادي مانشستر يونايتد لكرة القدم؟,1 مارس 1878م
wahm_024,متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟,2000
wahm_025,متى تاسس الجيش اليمني؟,1962
wahm_026,كم يبلغ أقصى عمق لبحر قزوين؟,1023 م
wahm_027,ما هو الرجفان البطيني؟,"حالة توقف القلب عن العمل بسبب خلل في منظومة القلب تؤدي إلى ارتجاف البطينين بدل انقباضهما, حالة توقف القلب عن العمل بسبب خلل في منظومة القلب تؤدي إلى ارتجاف البطينين بدل انقباضهما، الأمر الذي يؤدي إلى توقف الدورة الدموية ومن ثم إلى الوفاة بالسكتة القلبية إن لم يتم تدارك الأمر علاجياً خلال دقائق معدودة من خلال عملية الإنعاش القلبي الرئوي"
wahm_028,كم عدد امارات الأمارات العربية المتحدة؟,"سبع, السبع"
wahm_029,ما هي عملية التركيب الضوئي؟,عملية كيميائية معقدة تحدث في خلايا البكتيريا الزرقاء وفي صانعات اليخضور (الصانعات الخضراء) أو الكلوروبلاست في كل من الطحالب والنباتات العليا
wahm_030,من هو ألفرد نوبل؟,"مهندس ومخترع وكيميائي سويدي, مهندس ومخترع وكيميائي سويدي، اخترع الديناميت في سنة 1867 ومن ثم أوصى بمعظم ثروته التي جناها من الاختراع إلى جائزة نوبل التي سُميت بإسمه"
wahm_031,أين ولد ميكيلانجيلو؟,"قرية كابريزي قرب أريتسو بتوسكانا, كابريزي"
wahm_032,ما المعدل العادي لعملية الجماع؟,5.4 دقائق
wahm_033,متى بدأ التوقيع على معاهدة الحد من انتشار الأسلحة النووية؟,1 يوليو 1968
wahm_034,ما هو الارجاز؟,نوع من العجز الجنسي، حيث يكون الشخص غير قادر على تحقيق هزة الجماع على الرغم من وجود التحفيز الكافي
wahm_035,ما هي الرهبنة الفرنسيسكانية؟,"رهبنة في الكنيسة الكاثوليكية، تأسست على يد القديس فرنسيس الأسيزي, رهبنة في الكنيسة الكاثوليكية، تأسست على يد القديس فرنسيس الأسيزي في شمال إيطاليا"
wahm_036,من هو نقفور الثاني فوكاس؟,"امبراطور بيزنطي, امبراطور بيزنطي (963-969) أسهمت حملاته العسكرية في إحياء الامبراطورية البيزنطية في القرن العاشر"
wahm_037,أين تقع هضبة التيبت؟,آسيا الوسطى
wahm_038,متى رسم فان كوخ لوحة ليلة النجوم؟,1889 م
wahm_039,ما مساحة جورجيا؟,69.700 كم2
wahm_040,من هو مؤلف مانجا بيرسيرك؟,كينتارو ميورا
wahm_041,في أي سنة تأسست مدينة العيون ؟,1938
wahm_042,ما هو السلم الموسيقي؟,عبارة عن تتابع النغمات صعوداً وهبوطاً ويتكون من سبع درجات نغمية
wahm_043,متى تأسست القواة الخاصة التابعة للجيش البريطاني ؟,1707
wahm_044,من هو مؤلف رواية التائهون؟,أمين معلوف
wahm_045,من هي أنغريت كرامب كارينباور؟,سياسية ألمانية تشغل منصب زعيمة الاتحاد الديمقراطي المسيحي
wahm_046,ماهى نسبة الزيت في حبة البركة ؟,40%
wahm_047,"من هو مؤلف كتاب ""12 قاعدة للحياة""؟",جوردان بيرنت بيترسون
wahm_048,من هم اليهود الأشكناز ؟,اليهود الذين ترجع أصولهم إلى أوروبا الشرقية
wahm_049,متى توفي توماس كوهين ؟,17 حزيران 1996
wahm_050,من هو كريستوفر ستيفنز؟,"اسمه الكامل جون كريستوفر ستيفينز ، ولد وترعرع في شمال كاليفورنيا[2] ،درس في جامعة ""بركلي""وعمل محامياً مختصاً بالشؤون التجارية الدولية في واشنطن قبل ان ينضم إلى الخارجية الأمريكية في عام 1991.يجيد ستيفنز اللغة العربية والفرنسية وقد نشر العديد من المقالات في القدس ودمشق والقاهرة, سفير الولايات المتحدة في ليبيا منذ مايو 2012 [2] وحتى وفاته"
wahm_051,ما هي العصور الوسطى؟,التسمية التي تُطلق على الفترة الزمنية في التاريخ الأوروبي التي امتّدت من القرن الخامس حتّى القرن الخامس عشر الميلادي
wahm_052,ما هو عظم الإسك؟,الجزء الأسفل والخلفي لعظم الورك
wahm_053,ما هو عدد آيات سورة المائدة ؟,120
wahm_054,ما هو العثث؟,"مجموعة كبيرة من الحشرات القريبة من الفراشات, مجموعة كبيرة من الحشرات القريبة من الفراشات، وهي من أكثر الكائنات الحية شيوعا في العالم، حيث تتواجد في مختلف الأقاليم والمناخات"
wahm_055,أين تقع مدينة أوديسا؟,"جمهورية أوكرانيا, أوكرانيا"
wahm_056,متى تم إنتاج الفلم العربي (صح النوم)؟,1975
wahm_057,متى تم عرض اول موسم من مسلسل امريكا قوت تالنت؟,يونيو من عام 2006
wahm_058,من هو الملاكم الملقب ببراون بومبر؟,جوزيف لويس بارو
wahm_059,أين تقع  ولاية ساكسونيا؟,ولاية ألمانية
wahm_060,متى تاسست جامعة أم القرى؟,1401 هـ
wahm_061,ما هي دوامة نفايات شمال المحيط الهادئ؟,"منطقة قمامة بحرية تقع في منتصف المحيط الهادي الشمالي، وتمتد إلى منطقة غير محددة الحدود بشكل دقيق، وذلك لاختلاف تركيز البلاستيك والنفايات على حسب المنطقة, منطقة قمامة بحرية تقع في منتصف المحيط الهادي الشمالي"
wahm_062,ما هي علامة إعراب المفعول به في اللغة العربية؟,"الفتحة الظاهرة، أو المقدرة، أو الياء إن كان مثنى أو جمع مذكر سالم، أو الكسرة (نيابة عن الفتحة) إن كان جمع مؤنث سالم، أو الألف إن كان من الأسماء الخمسة, منصوب"
wahm_063,ما هي عاصمة موزمبيق؟,مابوتو
wahm_064,من أوراق أي نبات يستخلص الكوكايين؟,الكوكا
wahm_065,متى اعتزل لاعب كرة القدم دييغو فورلان اللعب دولياً؟,مارس 2015
wahm_066,من هي الملكة هيلانة؟,والدة الإمبراطور الروماني قسطنطين الكبير
wahm_067,متى توفي هتلر؟,30 أبريل 1945
wahm_068,كم يبلغ التعداد السكاني للفلبين؟,92 مليون
wahm_069,ما هي الغواصة القزمية ؟,نوع من الغواصات يكون حجم إزاحتها أقل من 150 طن
wahm_070,في أي عام كان البث العلني الأول بالألوان؟,1951
wahm_071,من هو تشارلز فرانسيس ريشتر؟,عالم زلازل وفيزيائي أمريكي
wahm_072,ما هي عاصمة جورجيا؟,تبليسي
wahm_073,أين ينبع نهر ليمبوبو؟,جنوب وسط أفريقيا
wahm_074,من كان قائد ثورة الشواف على نظام عبد الكريم قاسم في 8 آذار من عام 1959؟,"العقيد عبد الوهاب الشواف, عبد الوهاب الشواف"
wahm_075,ماهى عاصمة أيرلندا الشمالية ؟,بلفاست
wahm_076,من صاحب رواية العمى؟,جوزيه ساراماجو
wahm_077,أين تقع منطقة الباحة؟,"الجزء الغربي من شبه الجزيرة العربية، على سلسلة جبال الحجاز, الجزء الغربي من شبه الجزيرة العربية"
wahm_078,ماهو عدد مستخدمي خدمة الفيس بوك في الولايات المتحدة ؟,36 مليون
wahm_079,متى بدأت عملية الغزو السوفيتي لبولندا؟,17 سبتمبر 1939
wahm_080,أين تقع مدينة خاركيف؟,أوكرانيا
wahm_081,متى ولد عباس بن فرناس ؟,في زمن الدولة الأموية في الأندلس
wahm_082,في أي عام تأسست جامعة مالمو؟,1998
wahm_083,من هو والد فرانكلين ديلانو روزفلت؟,جيمس روزفلت
wahm_084,متى توفي محمد علي العابد ؟,1939
wahm_085,ما هو التوازن الثرموديناميكي؟,"نصف نظام بأنه في حالة توازن ثرموديناميكي عندما يكون في حالة توازن حراري و توازن ميكانيكي (حركي) و توازن إشعاعي و توازن كيميائي, عندما يكون في حالة توازن حراري و توازن ميكانيكي (حركي) و توازن إشعاعي و توازن كيميائي"
wahm_086,ما مساحة  مدينة إربد؟,30 كيلو متر مربع
wahm_087,ما هي البطالة الإحتكاكية؟,"نوع من أنواع البطالة المؤقتة, نوع من أنواع البطالة المؤقتة (لفترة زمنية قصيرة)"
wahm_088,ما معنى اصطلاح اصطلاح الفاشيّة لغوياً؟,حزمة من الصولجانات كانت تُحمَل أمام الحكام في روما القديمة دليلًا على سلطاتهم
wahm_089,من هم الأصوليين؟,اصطلاحٌ سياسي فكري مستحدث يشير إلى نظرة متكاملة للحياة بكافة جوانبها السياسية والاجتماعية والاقتصادية والثقافية نابعة عن قناعة متأصلة نابعة عن إيمانٍ بفكرةٍ أو منظومة قناعات، تكون في الغالب تصوراً  أو عقيدةٍ دينية
wahm_090,ماهو الجرافيك ديزاين ؟,نهج إبداعي يقوم به مصمم أو مجموعة من المصممين بناء على طلب العميل أو الزبون ويتعاون على تنفيذ معطياته المادية مجموعة من المنتجين(عمال طباعة، مبرمجين، مخرجين، الخ) من أجل إيصال رسالة معينة (أو مجموعة رسائل) للجمهور المستهدف
