qid,variety,condition,model,family,question,gold_answer,answer,pivot_question,model_id,temperature,resolved_model_id,pivot_model_id,timestamp,error,layer1_coverage,layer1_decision,degeneration_reasons
wahm_000,msa,direct,qwen3-8b,multilingual,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين,"الأوروغواي فازت ببطولة كأس العالم لكرة القدم **3 مرات**، وهي:

1. **1930** - في أول دورة لكأس العالم، في الأوروغواي.
2. **1970** - في مكسيكو سيتي.
3. **1990** - في إيطاليا.

إذن، **عدد مرات فوز الأوروغواي ببطولة كأس العالم هو 3 مرات**.",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:04+00:00,,0.000,defer,
wahm_001,msa,direct,qwen3-8b,multilingual,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك","المرو أو الكوارتز (Quartz) هو معدن كيميائي يُعرف بتركيبه الكيميائي **SiO₂** (أكسيد السيليكون)، وهو من أكثر المعادن شيوعًا في القشرة الأرضية.

### من هو مكتشف الكوارتز؟

الكوارتز لم يتم ""اكتشافه"" من قبل شخص معين في المعنى الحديث للكلمة، لأنه كان موجودًا في الطبيعة منذ زمن بعيد. لكن هناك أسماء تُنسب لعلماء أو أشخاص لمساهماتهم في دراسة الكوارتز أو تسميةه:

1. **القديم (العصر الروماني)**:
   - في العصور القديمة، كان الكوارتز معروفًا باسم **""كوارتز""** (Quartz) في اللغة اللاتينية، ويعود هذا الاسم إلى الكلمة اللاتينية **""quartus""**، والتي تعني ""الرابع""، وذلك لأن الكوارتز كان يُعتبر من بين الأحجار الأربعة التي تُستخدم في صنع الساعات (الساعة الرملية، الساعة الشمسية، الساعة المائية، والساعة الكوارتز).

2. **العلماء في العصور الوسطى والحديثة**:
   - لم يتم تسمية الكوارتز بشكل رسمي من قبل شخص معين، لكن العلماء مثل **أرسطو** و**القديس بطرس** و**القديس جون** قد وصفوا خصائصه في أعمالهم.
   - في العصور الحديثة، ساهم العلماء مثل **إدوارد ليند** و**إدوارد فريدمان** في دراسة خصائص الكوارتز الكهربائية، مما ساعد في تطوير استخدامه في الساعات الكوارتز.

### خلاصة:

- الكوارتز لم يتم اكتشافه من قبل شخص معين، بل كان موجودًا في الطبيعة منذ زمن بعيد.
- الاسم ""كوارتز"" يعود إلى اللغة اللاتينية، ويعني ""الرابع""، وهو يُستخدم في سياق الساعات.
- العلماء عبر التاريخ ساهموا في دراسة خصائصه وتطبيقاته، لكن لا يوجد مكتشف رسمي واحد.

إ",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.000,defer,
wahm_002,msa,direct,qwen3-8b,multilingual,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري,"يتصل الجنين بالرحم من خلال **الغشاء الأمniotic** وال**الغشاء التغطيي**، ويتم ذلك عبر عملية تُسمى **الإتصال المشترك** (Placenta)، وهي عبارة عن عضو ناعم يتشكل من أنسجة الأم والجنين، ويقوم بدور رئيسي في نقل العناصر الغذائية والهواء والأكسجين من الأم إلى الجنين، ونقل النفايات والعناصر الأخرى من الجنين إلى الأم.

### كيف يتصل الجنين بالرحم؟

1. **الإخصاب**:
   - يبدأ التصاق الجنين بالرحم بعد أن يُخصب البويضة من قبل الحيوان المنوي.
   - ينتقل البويضة المخصبة إلى الرحم، حيث تلتصق بجداره.

2. **التصاق البويضة بالرحم**:
   - تلتصق البويضة المخصبة بجدار الرحم، وتنمو لتصبح **الجنين**.
   - تبدأ عملية تكوين **الغشاء الأمniotic** الذي يحيط بالجنين ويحميه.

3. **تكوين المشيمة (الغشاء التغطيي)**:
   - تبدأ تكوين **المشيمة** (Placenta) من أنسجة الجنين والأم، وهي تُعتبر الجسر الحيوي بين الأم والجنين.
   - تُشكل المشيمة قنوات وعائية تسمح بتبادل المواد بين الأم والجنين.

4. **الاتصال عبر المشيمة**:
   - تمر المواد الغذائية والأكسجين من الدم الأمي عبر المشيمة إلى دم الجنين.
   - تمر النفايات والغازات مثل ثاني أكسيد الكربون من دم الجنين إلى المشيمة، ثم إلى دم الأم.

5. **الغشاء الأمniotic**:
   - يحيط بالجنين ويحميه من الصدمات.
   - يحتوي على سائل يساعد في تطوير أعضاء الجنين ويدعم نموه.

### ملاحظة:
- يبدأ هذا الاتصال في الأسبوع الأول أو الثاني من الحمل، ويستمر طوال فترة الحمل حتى الولادة.
- إذا توقف هذا الاتصال أو تضرر، قد يؤدي ذلك إلى مضاعفات خطيرة",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.250,defer,
wahm_003,msa,direct,qwen3-8b,multilingual,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية,"مسجد السلطان عبد المجيد هو مسجد تاريخي يقع في مدينة **القاهرة**، في مصر. يقع بالقرب من **ميدان التحرير**، وهو أحد المعالم الأثرية المهمة في القاهرة.

المسجد يُعرف أيضًا باسم **مسجد عبد المجيد الأول**، وتم بناؤه في القرن التاسع عشر، ويعتبر من المساجد القديمة التي تُظهر نمطًا معماريًا مختلطًا بين الأسلوب العثماني والعربي.

إذا كنت تبحث عن موقعه بالتحديد، يمكنك العثور عليه في **الحي العتيق** بالقرب من **القناطر الخيرية**، وهو من الأماكن التي تجذب الزوار المهتمين بالتراث الإسلامي والعمارة التاريخية.

هل ترغب في معلومات إضافية عن تاريخه أو معماره؟",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.333,defer,
wahm_004,msa,direct,qwen3-8b,multilingual,ما عاصمة جورجيا؟,تبليسي,عاصمة جورجيا هي **تفليس** (باللغة الجورجية: თბილისი).,,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.000,defer,
wahm_005,msa,direct,qwen3-8b,multilingual,ما هو عدد آيات سورة الكهف ؟,110,"عدد آيات سورة الكهف هو **110 آية**.

هذه السورة من أImportant السور في القرآن الكريم، وتشمل موضوعات مثل الإيمان، التوحيد، والصبر على الابتلاء، كما تروي قصة أصحاب الكهف والرجل المخلص.",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,1.000,defer,
wahm_006,msa,direct,qwen3-8b,multilingual,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه,"توفي لاعب كمال الأجسام ناصر السنباطي في 27 أبريل 2023، وكان يبلغ من العمر 34 عامًا. السبب الرسمي لوفاته هو **الوفاة بسبب إصابته بمرض السرطان**، وتحديدًا **سرطان الدم** (Leukemia)، وهو نوع من أورام الدم تؤثر على نخاع العظام وتُنتج خلايا دم غير طبيعية.

السنباطي كان يخضع لعلاج مكثف للسرطان، وقد أُعلن عن وفاته بعد معركة طويلة مع المرض. كان ناصر السنباطي أحد أبرز لاعبي كمال الأجسام في مصر، وحقق نتائج متميزة في البطولات الدولية، وكان يُعتبر نموذجًا للشباب في مجال الرياضة واللياقة البدنية.",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.000,defer,
wahm_007,msa,direct,qwen3-8b,multilingual,من هو مخترع المحرك البخاري؟,جيمس واط,"المحرك البخاري لم يُخترع من قبل شخص واحد فقط، بل تطور على مدار عدة قرون، لكن هناك شخصين يُعتبران من أبرز المساهمين في تطويره وتحقيقه كجهاز ميكانيكي قابل للتطبيق العملي:

### 1. **جيمس وات (James Watt)**
- **العصر:** القرن الثامن عشر (1736–1819)
- **المساهمة:** وات هو الشخص الذي **أعاد تصميم وتحسين** المحرك البخاري الذي طوره آخرون قبله، مثل **ثومبسون** و**ثومبسون** (الذين أطلقوا عليه ""المحرك البخاري المكبس"").
- **الإضافة الرئيسية:** أضاف **مكبسًا** و**مكبسًا مكانيًا**، مما جعل المحرك أكثر كفاءة وقابلًا للتطبيق في الصناعة.
- **التأثير:** ساعد وات في نقل المحرك البخاري من استخدامه في **التعدين** إلى استخدامه في **الصناعة والنقل**، مما ساهم في الثورة الصناعية.

### 2. **ثومبسون (Thomas Savery) وثومبسون (Thomas Newcomen)**
- **العصر:** أوائل القرن الثامن عشر
- **المساهمة:** طورا المحرك البخاري الأول في شكله الأساسي، لكنه كان غير كفء ويتطلب مجهودًا كبيرًا.
- **المحرك البخاري الأول:** تم تطويره من قبل **ثومبسون** في عام 1698، ثم تحسينه من قبل **ثومبسون** في عام 1712.

### خلاصة:
- **المحرك البخاري لم يُخترع من قبل شخص واحد**، بل تطور عبر مساهمات مختلفة.
- **جيمس وات** هو الشخص الذي **أعاد تصميمه وحسّنه** ليصبح جهازًا ميكانيكيًا عمليًا، لذلك يُعتبر **أبرز مخترع المحرك البخاري** في التاريخ.

إذا كنت تبحث عن ""مخترع"" بمعنى ""الشخص الذي",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.500,defer,
wahm_008,msa,direct,qwen3-8b,multilingual,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948,"تمت كتابة وثيقة إعلان قيام دولة إسرائيل في **الرابع من مايو عام 1948**.

وُضِعت الوثيقة في **القاهرة**، في **القاعة الكبرى في متحف الجيزة**، وتم إعلانها رسمياً من قبل **القيادة المؤقتة لدولة إسرائيل**، بقيادة **دوف شيمرون**، وذلك بعد انتهاء **الحرب العالمية الثانية** وقيام **الهيئة اليهودية المؤقتة** بإعلان تأسيس الدولة.

تُعتبر هذه الوثيقة من أبرز الأحداث في التاريخ الحديث، لأنها علقت نهاية **الانتداب البريطاني على فلسطين**، وبدأت مرحلة جديدة في المنطقة، وانطلقت معها **الحرب العربية الإسرائيلية** في نفس اليوم.",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.500,defer,
wahm_009,msa,direct,qwen3-8b,multilingual,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق,"إسم حصان الرسول محمد صلى الله عليه وسلم هو **البَقَرَة**.

كان البقرة حصانًا عظيمًا وقوياً، وصاحبًا لطيفًا، وكان يركض مع الرسول محمد صلى الله عليه وسلم في مختلف الرحلات والمعارك. يُروى أن الرسول صلى الله عليه وسلم كان يركض على ظهر البقرة، وكان يُحبها جداً.

هذا الاسم مذكور في بعض الأحاديث النبوية، وفي بعض المصادر التاريخية والعلمية.",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.000,defer,
wahm_010,msa,direct,qwen3-8b,multilingual,من رئيس ألمانيا النازية في الحرب العالمية الثانية؟,أدولف هتلر,"رئيس ألمانيا النازية خلال الحرب العالمية الثانية كان **أدولف هتلر**. تولى منصب **الرئيس الأول لألمانيا النازية** في 30 يناير 1933، بعد أن أصبح رئيسًا للحزب النازي، وبدأ بسرعة تجميع السلطة في يديه، مما أدى إلى تشكيل دولة إقطاعية تُعرف باسم **ألمانيا النازية** أو ** рейخ ألمانيا النازية** (Reichsleitung der NSDAP).

خلال الحرب العالمية الثانية (1939–1945)، كان هتلر القائد العسكري والسياسي الوحيد في ألمانيا، وقاد الحرب من مقره في **شتوتغارت** حتى وفاته في 30 أبريل 1945، عندما أُلقي القبض عليه من قبل القوات الأمريكية في مخبأه في **بوميران** (بوميران في بولندا).",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,1.000,defer,
wahm_011,msa,direct,qwen3-8b,multilingual,ما هو الطّيف الكهرومغناطيسي؟,"مصطلح عام يشمل جميع الترددات الممكنة من الإشعاعات الكهرومغناطيسية, خطوط الأشعة الصادرة من جسم أسود عند درجة حرارة معينة","**الطيف الكهرومغناطيسي** هو مجموعة من جميع أنواع **الموجات الكهرومغناطيسية** التي تُنتجها **الطاقة الكهرومغناطيسية**، وتغطي نطاقًا واسعًا من **الترددات والطويلات الموجية**. تُعتبر هذه الموجات جزءًا من **الطاقة الكهرومغناطيسية** التي تنتشر في الفراغ بسرعة الضوء (حوالي 300,000 كم/ثانية).

### مكونات الطيف الكهرومغناطيسي:
الطيف الكهرومغناطيسي ينقسم إلى عدة أنواع من الموجات، حسب **الطول الموجي** و**التردد**، وتشمل:

1. **الموجات الراديوية** (Radio waves)  
   - أطول طول موجي  
   - تُستخدم في الاتصالات، مثل الراديو والتلفزيون والإنترنت اللاسلكي.

2. **الموجات الميكروية** (Microwaves)  
   - تُستخدم في الاتصالات السلكية واللاسلكية، مثل الاتصالات الخلوية والطيران.

3. **الأشعة تحت الحمراء** (Infrared)  
   - تُستخدم في التصوير الحراري، والتحكم عن بعد، والطب.

4. **الضوء المرئي** (Visible light)  
   - النطاق الذي يمكن للعين البشرية رؤيته، ينقسم إلى الألوان من الأحمر إلى الأزرق.

5. **الأشعة فوق البنفسجية** (Ultraviolet)  
   - تُستخدم في التعقيم، والتحفيز الكيميائي، لكنها قد تكون ضارة للبشر.

6. **الأشعة السينية** (X-rays)  
   - تُستخدم في الطب لتصوير الجسم، والبحث العلمي.

7. **الأشعة الغاما** (Gamma rays)  
   - أقصر طول موجي  
   - تُستخدم في العلاج الإشعاعي، والبحث العلمي.

---

### خصائص الطيف الكهرومغناطيسي:
- **السرعة ثابتة** في الفراغ (سرعة",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.444,defer,
wahm_012,msa,direct,qwen3-8b,multilingual,أين تقع مدينة بينيفنتو؟,"جنوب إيطاليا في إقليم كامبانيا, جنوب إيطاليا","مدينة **بينيفنتو** (Benevento) تقع في **الجنوب الإيطالي**، في **منطقة كامبانيا** (Campania)، في **الولاية (Province) بينيفنتو**. 

### الموقع الجغرافي:
- **الإحداثيات التقريبية**: 40°54′N 14°25′E
- **المسافة من روما**: حوالي 130 كيلومترًا (80 ميل) جنوبًا.
- **القرب من المدن الأخرى**: تقع بين مدينتي **نابولي** (Naples) و**إمبولو** (Isernia)، وهي تُعتبر جزءًا من **المنطقة السياحية الجنوبية** في إيطاليا.

### التاريخ:
بينيفنتو هي واحدة من أقدم المدن في إيطاليا، وتُعتبر من **المدن المقدسة** في **الإمبراطورية الرومانية**. كانت عاصمة **الإمبراطورية البزنتية** (الإمبراطورية البيزنطية) في الجنوب الإيطالي لفترة قصيرة في القرن السادس الميلادي.

### الثقافة والمعالم:
- **كاتدرائية بينيفنتو** (Cattedrale di San Gaudioso): واحدة من أبرز المعالم الدينية في المدينة.
- **المتحف الأثري** (Museo Archeologico Nazionale): يحتوي على مجموعات أثرية مهمة.
- **الحصن القديم** (Castello di Benevento): يُعتبر من أقدم المباني في المدينة.

إذا كنت تبحث عن زيارة أو معلومات إضافية عن المدينة، يمكنني مساعدتك!",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.600,defer,
wahm_013,msa,direct,qwen3-8b,multilingual,ما هي المحاسبة المالية ؟,تسجيل وتبويب المدخلات والعمليات التي تمثل الأحداث الاقتصادية وفق نظام معين,"المحاسبة المالية هي فرع من فروع المحاسبة يُعنى بتسجيل، تحليل، وتقديم المعلومات المالية للشركة أو المؤسسة، بهدف إعداد البيانات المالية التي تُستخدم في اتخاذ القرارات الإدارية والمالية، وتقديمها للجهات المعنية مثل المستثمرين، المساهمين، البنوك، والجهات التنظيمية.

### أهداف المحاسبة المالية:
1. **تسجيل العمليات المالية**: تسجيل جميع المعاملات المالية التي تحدث في المؤسسة.
2. **تحليل البيانات المالية**: تحليل البيانات لفهم أداء المؤسسة المالية.
3. **إعداد التقارير المالية**: إعداد التقارير المالية مثل:
   - **الميزانية العمومية** (Balance Sheet)
   - **تقرير الدخل** (Income Statement)
   - **تقرير التغيرات في حقوق المساهمين** (Statement of Changes in Equity)
   - **تقرير التدفقات النقدية** (Cash Flow Statement)
4. **تقديم المعلومات للمستخدمين**: تقديم المعلومات المالية للجهات المعنية مثل المستثمرين، المساهمين، البنوك، والجهات التنظيمية.

### مبادئ المحاسبة المالية:
تُتبع المحاسبة المالية مجموعة من المبادئ الأساسية، منها:
- **الاستمرارية** (Going Concern)
- **القيمة التاريخية** (Historical Cost)
- **الاستقلالية** (Independence)
- **الشفافية** (Transparency)
- **الملاءمة** (Relevance)
- **الموثوقية** (Reliability)

### أهمية المحاسبة المالية:
- تساعد في اتخاذ قرارات مالية دقيقة.
- تُظهر صحة وصحة المؤسسة المالية.
- تُستخدم في تقييم أداء المؤسسة.
- تُساعد في الامتثال للقوانين والأنظمة المالية.

إذا كنت ترغب في معرفة المزيد عن أنواع المحاسبة أو تطبيقاتها في الشركات، يمكنني مساعدتك في ذلك أيضًا.",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:25:10+00:00,,0.273,defer,
