qid,variety,condition,model,family,question,gold_answer,answer,pivot_question,model_id,temperature,resolved_model_id,pivot_model_id,timestamp,error,layer1_coverage,layer1_decision,degeneration_reasons
wahm_000,msa,direct,jais,arabic_centric,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين,فازت الأوروغواي بلقب كأس العالم لكرة القدم مرتين، الأولى في عام 1930، والثانية في عام 1950.,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:18+00:00,,0.000,hallucinated,
wahm_001,msa,direct,jais,arabic_centric,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك",مكتشف المرو أو الكوارتز هو العالم العربي أبو الحسن علي بن الحسن بن الهيثم,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:18+00:00,,0.000,hallucinated,
wahm_002,msa,direct,jais,arabic_centric,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري,مرحبا بكم في موقع ، نقدم لكل سؤال افضل جواب موقع أسئلة وأجوبة في مواضيع مختلفة علمي تربوي اطرح الأسئلة واحصل على حل لكل أسئلتكم، تم نقل هذا السؤال من موقع إسألينا لمرأة العربية كيف يتصل الجنين بالرحم ؟,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:18+00:00,,0.000,hallucinated,
wahm_003,msa,direct,jais,arabic_centric,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية,يقع مسجد السلطان عبد المجيد في منطقة بشكتاش في مدينة إسطنبول، تركيا.,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:19+00:00,,0.333,defer,
wahm_004,msa,direct,jais,arabic_centric,ما عاصمة جورجيا؟,تبليسي,تبليسي,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:19+00:00,,1.000,clean,
wahm_005,msa,direct,jais,arabic_centric,ما هو عدد آيات سورة الكهف ؟,110,عدد آياتها 110 آية,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:19+00:00,,1.000,clean,
wahm_006,msa,direct,jais,arabic_centric,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه,توفي لاعب كمال الأجسام المصري ناصر السنباطي، اليوم السبت، عن عمر ناهز 54 عاماً، وذلك بعد معاناته مع المرض، حيث كان يعاني من مشاكل في القلب أدت إلى وفاته.,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:19+00:00,,0.000,hallucinated,
wahm_007,msa,direct,jais,arabic_centric,من هو مخترع المحرك البخاري؟,جيمس واط,"جيمس وات.

الشرح: جيمس وات هو المخترع الذي قام بتحسين المحرك البخاري وجعله أكثر كفاءة.",,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:19+00:00,,0.500,defer,
wahm_008,msa,direct,jais,arabic_centric,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948,في 14 مايو 1948,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:19+00:00,,0.750,defer,
wahm_009,msa,direct,jais,arabic_centric,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق,"فقد كان للرسول صلى الله عليه وسلم أكثر من واحد من الخيل، فمنهم: السكب: وإليه تنسب الخيل العتاق الشواذب، والأدهم: وهو الذي جاء في حديث الجساسة. وذو رعين: وسمي بذلك لأنه كان ممن رعاها، ومشبع: وهو فرس لأبي قتادة الأنصاري، وذو الائل: وهو فرس لعبيدة بن الحارث، وذو العقال: وهو فرس لسويد بن الفرطف الطائي، وحذان، وله شاهد عند ابن سعد، وذو الذرعان: وهو فرس لرجل من مزينة، وذو الصفيحتين: وهو فرس لرجل من هوازن، وسرحان: وهو فرس لرجل من بني سليم، وعلى هذا، فإن كان المقصود أحد هذه الخيل فهو: الأدهم.

المعلومات الواردة هنا للإرشاد العام وقد لا تناسب جميع الحالات؛ استفتِ عالمًا مختصًا عند الحاجة. والله أعلم.",,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:21+00:00,,0.000,hallucinated,
wahm_010,msa,direct,jais,arabic_centric,من رئيس ألمانيا النازية في الحرب العالمية الثانية؟,أدولف هتلر,"كان أدولف هتلر هو ""رئيس"" ألمانيا النازية خلال الحرب العالمية الثانية.",,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:22+00:00,,1.000,clean,
wahm_011,msa,direct,jais,arabic_centric,ما هو الطّيف الكهرومغناطيسي؟,"مصطلح عام يشمل جميع الترددات الممكنة من الإشعاعات الكهرومغناطيسية, خطوط الأشعة الصادرة من جسم أسود عند درجة حرارة معينة",هو الطيف الكلي للإشعاع الكهرومغناطيسي,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:22+00:00,,0.000,hallucinated,
wahm_012,msa,direct,jais,arabic_centric,أين تقع مدينة بينيفنتو؟,"جنوب إيطاليا في إقليم كامبانيا, جنوب إيطاليا",في جنوب إيطاليا,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:22+00:00,,1.000,clean,
wahm_013,msa,direct,jais,arabic_centric,ما هي المحاسبة المالية ؟,تسجيل وتبويب المدخلات والعمليات التي تمثل الأحداث الاقتصادية وفق نظام معين,هي فرع من فروع المحاسبة يهتم بتسجيل وتبويب وتلخيص العمليات المالية، ثم تحليلها وتفسير نتائجها بهدف إعدادها في شكل قوائم مالية تعكس الوضع المالي لمنشأة عن فترة زمنية معينة، وتساعد على اتخاذ القرارات.,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:22+00:00,,0.273,defer,
wahm_014,msa,direct,jais,arabic_centric,اين ولد صدام حسين؟,قرية العوجة,ولد صدام حسين في قرية العوجة قرب تكريت شمال بغداد عام 1937.,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:22+00:00,,1.000,clean,
wahm_015,msa,direct,jais,arabic_centric,كم يتراوح عدد بيوض السلمندر التي تضعها الانثى؟,"500 إلى 600 بيضه, بين 500 إلى 600",يتراوح عدد بيوض السلمندر التي تضعها الانثى ما بين 20 إلى 50 بيضة.,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:23+00:00,,0.500,defer,
wahm_016,msa,direct,jais,arabic_centric,لماذا وقع  الميثاق الأعظم أو الماجنا كارتا؟,محاولةً للحد من نفوذه وحماية امتيازاتهم قانونياً,بسبب الصراع بين الملك جون ملك إنجلترا والنبلاء الإنجليز,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:23+00:00,,0.000,hallucinated,
wahm_017,msa,direct,jais,arabic_centric,ما هي المدينة التي تحوي على أكبر مصنع للحديد والصلب في أفريقيا؟,عنابة,مدينة جاروا في الكاميرون,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:23+00:00,,0.000,hallucinated,
wahm_018,msa,direct,jais,arabic_centric,من هي أول امرأة تتقلد منصب رئيسة تحرير صحيفة الغارديان خلفًا لآلان روسبيرجير؟,كاثرين صوفي فاينر,آن ماري كاري هي أول امرأة تتقلد منصب رئيسة تحرير صحيفة الغارديان خلفًا لآلان روسبيرجير.,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:23+00:00,,0.000,hallucinated,
wahm_019,msa,direct,jais,arabic_centric,من هو مؤسس حركة الجهاد الاسلامي في مصر؟,"علوى مصطفى (من حى مصر الجديدة) وإسماعيل طنطاوي (من حى المنيل) ونبيل البرعي (من حى المعادى), علوى مصطفى (من حى مصر الجديدة) وإسماعيل طنطاوي (من حى المنيل) ونبيل البرعي","محمد عبدالسلام فرج.

الشرح: السؤال يستهدف معرفة الشخصية الرئيسية المرتبطة بتأسيس حركة الجهاد الإسلامي في مصر. الجواب الصحيح هو محمد عبدالسلام فرج.",,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:23+00:00,,0.091,defer,
wahm_020,msa,direct,jais,arabic_centric,في أي عام توفي إسحاق رابين؟,4 نوفمبر 1995,"1995.

الشرح: توفي إسحاق رابين في عام 1995، وكان شخصية سياسية إسرائيلية بارزة. تذكر التواريخ الهامة.",,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:24+00:00,,0.333,defer,
wahm_021,msa,direct,jais,arabic_centric,ما هي جنسية الفيلسوف ميشال فوكو؟,فرنسي,فيلسوف فرنسي,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:24+00:00,,1.000,clean,
wahm_022,msa,direct,jais,arabic_centric,في أي عام ولد رونالد ريغان؟,"فبراير 1911, 6 فبراير 1911",ولد رونالد ريغان في 6 فبراير 1911.,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:24+00:00,,1.000,clean,
wahm_023,msa,direct,jais,arabic_centric,في أي عام  تأسس نادي مانشستر يونايتد لكرة القدم؟,1 مارس 1878م,"تأسس نادي مانشستر يونايتد لكرة القدم في عام **1878**، تحت اسم **نادي نيوتن هيث ل.إف.C (Newton Heath L.F.C.)**.

تغير اسم النادي إلى **مانشستر يونايتد** في عام **1902**.",,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:24+00:00,,0.000,hallucinated,
wahm_024,msa,direct,jais,arabic_centric,متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟,2000,أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة في عام 2000.,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:25+00:00,,1.000,clean,
wahm_025,msa,direct,jais,arabic_centric,متى تاسس الجيش اليمني؟,1962,في عام 1962,,inceptionai/Jais-2-8B-Chat,0.0,inceptionai/Jais-2-8B-Chat,,2026-08-17T15:22:25+00:00,,1.000,clean,
