qid,question_msa,gold_answer,dialect_candidate,backtranslation_msa,sub_variety,requested_model,translation_model,backtranslation_model,n_exemplars,coda,temperature
wahm_000,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين,كم مرة فازت الأوروغواي ببطولة كأس العالم لكرة القدم؟,كم مرة فازت الأوروغواي ببطولة كأس العالم لكرة القدم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_001,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك",مين اللي اكتشف المرو أو الكوارتز؟,من الذي اكتشف المرو أو الكوارتز؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_002,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري,كيف بيتصل الجنين بالرحم؟,كيف يتصل الجنين بالرحم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_003,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية,وين موجود مسجد السلطان عبد المجيد؟,أين يقع مسجد السلطان عبد المجيد؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_004,ما عاصمة جورجيا؟,تبليسي,شو عاصمة جورجيا؟,ما عاصمة جورجيا؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_005,ما هو عدد آيات سورة الكهف ؟,110,قديش عدد آيات سورة الكهف؟,كم عدد آيات سورة الكهف؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_006,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه,شو كان سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_007,من هو مخترع المحرك البخاري؟,جيمس واط,مين اخترع المحرك البخاري؟,من اخترع المحرك البخاري؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_008,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948,إيمتى انكتبت وثيقة إعلان قيام دولة إسرائيل؟,متى كُتبت وثيقة إعلان قيام دولة إسرائيل؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
wahm_009,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق,شو كان اسم حصان الرسول صلى الله عليه وسلم؟,ما اسم حصان الرسول صلى الله عليه وسلم؟,,gpt-5.6-sol,gpt-5.6-sol-2026-07-09,gpt-5.6-sol-2026-07-09,10,1,0.3
