qid,variety,condition,model,family,question,gold_answer,answer,pivot_question,model_id,temperature,resolved_model_id,pivot_model_id,timestamp,error,layer1_coverage,layer1_decision,degeneration_reasons
wahm_000,msa,direct,gpt55,multilingual,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين,"فازت الأوروغواي ببطولة كأس العالم لكرة القدم **مرتين**:

- **1930**
- **1950**",,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:51+00:00,,0.000,defer,
wahm_001,msa,direct,gpt55,multilingual,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك","لا يُعرف **مكتشف واحد** للمرو أو **الكوارتز**؛ لأنه معدن معروف ومستخدم منذ العصور القديمة في أدوات وزينة ونقوش لدى حضارات كثيرة.

لكن تاريخيًا يمكن ذكر الآتي:

- كان اليونانيون القدماء يعرفونه باسم قريب من معنى **الجليد**؛ لأنهم ظنوا أن البلورات الشفافة نوع من الجليد المتجمد دائمًا.
- الاسم الحديث **Quartz** دخل من اللغات الأوروبية، خصوصًا الألمانية.
- من أوائل من درسوا بلورات الكوارتز علميًا العالم الدنماركي **نيكولاس ستينو Nicolas Steno** في القرن السابع عشر، ووضع مبدأ ثبات الزوايا بين أوجه البلورات.

إذن: **ليس للكوارتز مكتشف محدد، بل هو معروف منذ القدم، أما دراسته العلمية البلورية فارتبطت بنيكولاس ستينو.**",,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:56+00:00,,0.000,defer,
wahm_002,msa,direct,gpt55,multilingual,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري,"يتصل الجنين بالرحم عبر **المشيمة والحبل السري**:

- بعد الإخصاب تنغرس البويضة المخصبة في **بطانة الرحم**، ثم تتكوّن **المشيمة** وتلتصق بجدار الرحم.
- يكون الجنين داخل **الكيس الأمنيوسي** ومحاطًا بالسائل الأمنيوسي.
- يربط **الحبل السري** بين الجنين والمشيمة.
- عبر المشيمة والحبل السري يصل إلى الجنين **الأكسجين والغذاء** من دم الأم، وتعود **الفضلات وثاني أكسيد الكربون** من الجنين إلى الأم للتخلص منها.

مهم: دم الأم ودم الجنين غالبًا لا يختلطان مباشرة، بل يتم تبادل المواد عبر المشيمة.",,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:56+00:00,,0.500,defer,
wahm_003,msa,direct,gpt55,multilingual,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية,يقع **مسجد السلطان عبد المجيد** — المعروف أيضًا باسم **مسجد أورتاكوي** أو **المسجد المجيدي الكبير** — في **حي أورتاكوي بمنطقة بشكتاش في إسطنبول، تركيا**، على ضفة **مضيق البوسفور**.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:56+00:00,,0.000,defer,
wahm_004,msa,direct,gpt55,multilingual,ما عاصمة جورجيا؟,تبليسي,عاصمة جورجيا هي **تبليسي**.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:56+00:00,,1.000,defer,
wahm_005,msa,direct,gpt55,multilingual,ما هو عدد آيات سورة الكهف ؟,110,عدد آيات سورة الكهف هو **110 آيات**.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:56+00:00,,1.000,defer,
wahm_006,msa,direct,gpt55,multilingual,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه,توفي لاعب كمال الأجسام ناصر السنباطي في 20 مارس 2013 عن عمر 47 عامًا. وتُشير أغلب المصادر إلى أن سبب وفاته كان فشلًا/توقفًا في القلب أثناء نومه، مع أنه كان يعاني قبل ذلك من مشكلات صحية، وذُكرت أيضًا مشكلات بالكلى ضمن ما كان يعانيه.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:58+00:00,,1.000,defer,
wahm_007,msa,direct,gpt55,multilingual,من هو مخترع المحرك البخاري؟,جيمس واط,"لا يُنسب اختراع المحرك البخاري لشخص واحد فقط، لكن غالبًا يُذكر:

- **توماس نيوكومن**: صنع أول محرك بخاري عملي عام **1712** لضخ المياه من المناجم.
- **جيمس وات**: طوّر المحرك البخاري بشكل كبير في القرن الثامن عشر وجعله أكثر كفاءة، لذلك يُنسب إليه الفضل الشائع في انتشار المحرك البخاري.

أما أقدم فكرة بدائية لمحرك يعمل بالبخار فتُنسب إلى **هيرون الإسكندري** في القرن الأول الميلادي.",,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:58+00:00,,0.500,defer,
wahm_008,msa,direct,gpt55,multilingual,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948,تمت صياغة/إقرار وثيقة إعلان قيام دولة إسرائيل في **14 أيار/مايو 1948**، وقرأها دافيد بن غوريون في تل أبيب في اليوم نفسه، قبيل انتهاء الانتداب البريطاني على فلسطين. ويوافق ذلك **5 إيار 5708** في التقويم العبري.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:58+00:00,,1.000,defer,
wahm_009,msa,direct,gpt55,multilingual,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق,"كان للنبي ﷺ عدة خيل، ومن أشهرها وأول فرس امتلكه كان اسمه **السَّكْب**.

ومن أسماء خيله أيضًا: **المرتجز، اللِّزاز، اللَّحيف، الظَّرِب، سَبْحة، الوَرْد**.",,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:58+00:00,,0.000,defer,
wahm_010,msa,direct,gpt55,multilingual,من رئيس ألمانيا النازية في الحرب العالمية الثانية؟,أدولف هتلر,رئيس/زعيم ألمانيا النازية خلال الحرب العالمية الثانية كان **أدولف هتلر**. كان يُلقّب بـ **الفوهرر**، وتولى قيادة ألمانيا النازية حتى عام 1945.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:46:58+00:00,,1.000,defer,
wahm_011,msa,direct,gpt55,multilingual,ما هو الطّيف الكهرومغناطيسي؟,"مصطلح عام يشمل جميع الترددات الممكنة من الإشعاعات الكهرومغناطيسية, خطوط الأشعة الصادرة من جسم أسود عند درجة حرارة معينة","الطَّيف الكهرومغناطيسي هو **مجموعة جميع أنواع الإشعاع الكهرومغناطيسي** مرتّبة حسب **الطول الموجي** أو **التردّد** أو **الطاقة**.

الإشعاع الكهرومغناطيسي هو موجات تنتقل في الفراغ بسرعة الضوء، وتتكوّن من مجال كهربائي ومجال مغناطيسي متعامدين.

يضم الطيف الكهرومغناطيسي، من الأطوال الموجية الأكبر إلى الأصغر:

1. **موجات الراديو**  
   تُستخدم في البث الإذاعي والتلفاز والاتصالات.

2. **الموجات الميكروية**  
   تُستخدم في أفران الميكروويف والرادار والاتصالات اللاسلكية.

3. **الأشعة تحت الحمراء**  
   ترتبط بالحرارة، وتُستخدم في أجهزة التحكم عن بُعد والكاميرات الحرارية.

4. **الضوء المرئي**  
   هو الجزء الذي تستطيع العين البشرية رؤيته، مثل ألوان قوس قزح.

5. **الأشعة فوق البنفسجية**  
   تأتي من الشمس، وقد تسبب اسمرار الجلد أو حروقه.

6. **الأشعة السينية**  
   تُستخدم في التصوير الطبي لفحص العظام والأسنان.

7. **أشعة غاما**  
   لها طاقة عالية جدًا، وتنتج عن التفاعلات النووية وبعض الظواهر الكونية.

كلما **زاد التردد** زادت **الطاقة**، وكلما **زاد الطول الموجي** قلّت الطاقة.  
والعلاقة الأساسية هي:

\[
c = \lambda f
\]

حيث:  
\(c\) سرعة الضوء،  
\(\lambda\) الطول الموجي،  
\(f\) التردد.",,gpt-5.5,,gpt-5.5,,2026-08-17T18:47:00+00:00,,0.222,defer,
wahm_012,msa,direct,gpt55,multilingual,أين تقع مدينة بينيفنتو؟,"جنوب إيطاليا في إقليم كامبانيا, جنوب إيطاليا",تقع مدينة **بينيفنتو (Benevento)** في **جنوب إيطاليا**، ضمن إقليم **كامبانيا**، وهي عاصمة مقاطعة بينيفنتو، وتقع إلى الشمال الشرقي من مدينة **نابولي**.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:47:00+00:00,,1.000,defer,
wahm_013,msa,direct,gpt55,multilingual,ما هي المحاسبة المالية ؟,تسجيل وتبويب المدخلات والعمليات التي تمثل الأحداث الاقتصادية وفق نظام معين,"المحاسبة المالية هي فرع من فروع المحاسبة يهتمّ بتسجيل وتصنيف وتلخيص العمليات المالية للمنشأة خلال فترة زمنية محددة، ثم عرضها في تقارير مالية تساعد الأطراف المختلفة على معرفة الوضع المالي ونتائج الأعمال.

تهدف المحاسبة المالية إلى توضيح:

- هل حققت المنشأة ربحًا أم خسارة؟
- ما قيمة أصول المنشأة مثل النقد والمخزون والمباني؟
- ما الالتزامات أو الديون المستحقة عليها؟
- ما حقوق أصحاب المنشأة أو المساهمين؟
- كيف كانت حركة النقد داخل وخارج المنشأة؟

ومن أهم القوائم المالية التي تنتجها المحاسبة المالية:

1. قائمة الدخل  
   توضح الإيرادات والمصروفات وصافي الربح أو الخسارة.

2. قائمة المركز المالي / الميزانية العمومية  
   توضح الأصول والالتزامات وحقوق الملكية في تاريخ معين.

3. قائمة التدفقات النقدية  
   توضح حركة النقد من الأنشطة التشغيلية والاستثمارية والتمويلية.

4. قائمة التغيرات في حقوق الملكية  
   توضّح التغيرات التي طرأت على رأس المال والأرباح المحتجزة وغيرها.

ويستفيد من المحاسبة المالية عدة أطراف، مثل:

- الإدارة
- المستثمرين
- البنوك
- الجهات الحكومية والضريبية
- الموردين والدائنين
- المساهمين

باختصار، المحاسبة المالية هي النظام الذي يترجم العمليات المالية للمنشأة إلى معلومات وتقارير واضحة تساعد في اتخاذ القرارات الاقتصادية.",,gpt-5.5,,gpt-5.5,,2026-08-17T18:47:01+00:00,,0.455,defer,
wahm_014,msa,direct,gpt55,multilingual,اين ولد صدام حسين؟,قرية العوجة,وُلد صدام حسين في قرية **العوجة** قرب مدينة **تكريت** في العراق، وذلك عام **1937**.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:47:01+00:00,,1.000,defer,
wahm_015,msa,direct,gpt55,multilingual,كم يتراوح عدد بيوض السلمندر التي تضعها الانثى؟,"500 إلى 600 بيضه, بين 500 إلى 600",يتراوح عدد البيوض التي تضعها أنثى السلمندر غالبًا بين **10 و500 بيضة**، ويختلف العدد حسب **نوع السلمندر** والبيئة التي يعيش فيها.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:48:14+00:00,,0.500,defer,
wahm_016,msa,direct,gpt55,multilingual,لماذا وقع  الميثاق الأعظم أو الماجنا كارتا؟,محاولةً للحد من نفوذه وحماية امتيازاتهم قانونياً,"وُقِّع **الميثاق الأعظم (الماجنا كارتا)** سنة **1215م** في إنجلترا لأن النبلاء تمرّدوا على حكم الملك **جون** بسبب:

- فرضه ضرائب ثقيلة لتمويل حروبه الفاشلة، خاصة ضد فرنسا.  
- تعسّفه في استخدام السلطة واعتقال الناس أو معاقبتهم دون محاكمة عادلة.  
- خلافاته مع الكنيسة والبابوية.  
- تجاهله لمصالح النبلاء والقوانين والأعراف القائمة.

لذلك أُجبر الملك جون على قبول الميثاق في منطقة **رَنيميد** قرب لندن. وكان الهدف الأساسي منه **تقييد سلطة الملك** والتأكيد أن الحاكم نفسه يخضع للقانون، ومن أهم مبادئه: عدم فرض ضرائب كبيرة دون موافقة، وعدم سجن الأحرار أو مصادرة ممتلكاتهم إلا وفق حكم قانوني عادل.

ولهذا تُعد الماجنا كارتا خطوة مهمة في تطور فكرة **سيادة القانون والحقوق الدستورية**.",,gpt-5.5,,gpt-5.5,,2026-08-17T18:48:15+00:00,,0.000,defer,
