sample_id,qid,variety,question,gold_answer,answer,human_label,error_type,comments
audit_086,wahm_185,msa,متى توفي محمود شوكت باشا؟,17 ديسمبر 1903م,توفي محمود شوكت باشا في 8 نوفمبر 1919.,,,
audit_230,wahm_024,msa,متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟,2000,"متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة؟
متى أقيمت بطولة (غرب آسيا) لكرة القدم لأول مرة",,,
audit_212,wahm_225,sudanese,ألبرت أينشتاين اتولد متين؟,"(14 مارس 1879, 14 مارس 1879",ألبرت أينشتاين وُلد في الثالث عشر من مارس عام 1879.,,,
audit_007,wahm_272,gulf,وش هو خفاش الفاكهة المصري؟,نوع من خفافيش فاكهة العالم القديم من فصيلة الخفافيش الكبيرة (خفافيش الفاكهة) من رتبة الخفاشيات,"خفاش الفاكهة المصري (Rousettus aegyptiacus) هو نوع من الخفافيش ينتمي إلى فصيلة خفافيش الفاكهة. يتميز هذا الخفاش بحجمه الكبير، حيث يمكن أن يصل طول جناحيه إلى حوالي 1.5 متر، مما يجعله أحد أكبر أنواع الخفافيش في العالم.

**الخصائص الرئيسية:**
*   **الحجم:** كبير جدًا، يصل طول جناحيه إلى 1.5 متر.
*   **اللون:** عادةً ما يكون لونه بنيًا محمرًا، مع وجود خطوط داكنة على ظهره.
*   **الموطن:** يتواجد في مناطق واسعة من أفريقيا والشرق الأوسط، بما في ذلك مصر.
*   **النظام الغذائي:** يتغذى بشكل أساسي على الفواكه، وخاصةً التين والمانجو والموز، ولكنه قد يأكل أيضًا الحشرات.
*   **السلوك:** يعيش في مستعمرات كبيرة، وغالبًا ما يكون ليلي النشاط.

**الأهمية:**
*   **التلقيح:** يلعب دورًا حيويًا في تلقيح العديد من النباتات، مما يساهم في الحفاظ على التنوع البيولوجي.
*   **مكافحة الآفات:** يساعد في السيطرة على بعض أنواع الآفات الزراعية.
*   **مؤشر بيئي:** يعتبر مؤشرًا صحيًا للبيئة، حيث أن وجوده يشير إلى وجود نظام بيئي متوازن.

**ملاحظات إضافية:**
*   يُعرف هذا الخفاش أيضًا باسم ""الخفاش الفاكهي"" أو ""الخفاش المصري"" بسبب انتشاره الواسع في هذه المناطق.
*   على الرغم من حجمه الكبير، إلا أنه ليس عدوانيًا تجاه البشر، وغالبًا ما يهرب عند الاقتراب منه.",,,
audit_023,wahm_250,egyptian,إيه هو تصريح 28 فبراير 1922؟,"تصريح اعلنته بريطانيا من طرف واحد في لندن والقاهرة في هذا التاريخ, تصريح اعلنته بريطانيا من طرف واحد في لندن والقاهرة في هذا التاريخ.[1][2] اعلنت فيه انهاء الحماية البريطانية على مصر","تصريح 28 فبراير 1922 هو **تصريح رسمي أصدره الملك فاروق الأول**، وهو أحد أبرز التصريحات السياسية في تاريخ مصر الحديث، ويرتبط بشكل مباشر ببداية **الثورة العربية الكبرى** ضد الاستعمار البريطاني في مصر.

### ماهو تصريح 28 فبراير 1922؟

في يوم **28 فبراير 1922**، أصدر الملك فاروق الأول تصريحاً رسمياً بمناسبة **ذكرى تأسيس الدولة المصرية**، حيث أعلن فيه أن **الملكية المصرية تُعتبر دولة مستقلة**، وأنه **يُعلن عن تأسيس دولة مصر المستقلة**، وهو ما يُعتبر **الاعتراف الرسمي بالاستقلال المصري**.

### أهمية التصريح:

- **الاعتراف بالاستقلال**: كان هذا التصريح أول اعتراف رسمي من قبل الملك المصري بالاستقلال، رغم أن الاستعمار البريطاني لم يُعترف بالاستقلال بشكل كامل حتى عام 1924.
- **الخطوة نحو الاستقلال**: أدى التصريح إلى تطورات كبيرة في مسار الاستقلال المصري، وساهم في ترسيخ فكرة الدولة المصرية المستقلة.
- **التأثير على الثورة**: كان التصريح محفزاً للثورة المصرية ضد الاستعمار، حيث أدى إلى تشكيل **الجمعية الوطنية المصرية** في عام 1923، والتي كانت تطالب بحقوق مصر المستقلة.

### ملاحظة:

رغم أن التصريح أُصدر من قبل الملك فاروق الأول، إلا أنه لم يكن مُعترفاً به بشكل كامل من قبل البريطانيين، الذين استمروا في التحكم في شؤون مصر حتى عام 1924، عندما أُصدر **الاعتراف الرسمي بالاستقلال المصري** من قبل الحكومة البريطانية.

إذا كنت تبحث عن تفاصيل أكثر عن التصريح أو تأثيره، يمكنني مساعدتك في ذلك.",,,
audit_206,wahm_268,sudanese,كاتدرائية شارتر موجودة وين؟,"جنوب غرب باريس, بفرنسا",كاتدرائية شارتر موجودة في مدينة **شارتر (Chartres)** في **فرنسا**، وتقع تقريبًا على بُعد **80 كم جنوب غرب باريس**.,,,
audit_109,wahm_273,egyptian,طول الحدود الأردنية مع اسرائيل قد إيه؟,238 كيلومترًا,طول الحدود الأردنية مع إسرائيل هو ** approximately 364 كيلومتر** (حوالي 226 ميل). تقع هذه الحدود في الجزء الشمالي الغربي من الأردن، وتُعتبر من أخطر الحدود في المنطقة من حيث التوترات السياسية والجيوسياسية. تُدار الحدود بشكل مشترك بين الأردن وإسرائيل، وتشمل مناطق مغلقة ونقاط تفتيش.,,,
audit_127,wahm_094,levantine,مين هو الفيلسوف أنطوني فلو؟,فيلسوف بريطاني، اشتهر بكتاباته في فلسفة الأديان,"أنطوني فلو (Anthony Flew) هو فيلسوف بريطاني معروف، ولد في 11 فبراير 1923 وتوفي في 8 أبريل 2010. يُعتبر من أبرز الفلاسفة في القرن العشرين، واشتهر بعمله في مجال الفلسفة التحليلية، خاصة في مجالات المنطق، الأخلاق، واللاهوت. كان فلو معروفًا أيضًا بتغييره في الرأي حول وجود الله، حيث كان ملحدًا في بداية حياته المهنية، لكنه أعلن في عام 2004 أنه أصبح ""غير متشكك"" في وجود الله بعد دراسة الأدلة العلمية.",,,
audit_038,wahm_205,levantine,إيمتى بينعمل مهرجان مدينة جرش؟,في يوليو من كل عام,مهرجان جرش بينعقد سنويًا في شهر يوليو في مدينة جرش الأثرية في الأردن. المهرجان بيضم فعاليات فنية وثقافية وموسيقية من مختلف أنحاء العالم، وبيساهم في تعزيز السياحة والثقافة في الأردن.,,,
audit_186,wahm_098,levantine,وين ولد أبو عامر محمد بن أبي عامر؟,الجزيرة الخضراء,وُلد أبو عامر محمد بن أبي عامر، المعروف بـ **الحاجب المنصور**، في **قرية طُرّش/تورّش قرب الجزيرة الخضراء في الأندلس**، وذلك نحو سنة **327هـ / 938م**.,,,
