qid,variety,condition,model,family,question,gold_answer,answer,pivot_question,model_id,temperature,resolved_model_id,pivot_model_id,timestamp,error,layer1_coverage,layer1_decision,degeneration_reasons,layer2_hallucination_probability,combined_decision,combined_label
wahm_000,msa,direct,fanar,arabic_centric,كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟,بطولتين,"كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأوروغواي ببطولة كاس العالم لكرو القدم؟
كم عدد مرات فوز الأورو",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:41+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_001,msa,direct,fanar,arabic_centric,من هو مكتشف المرو أو الكوارتز ؟,"(بيير كوري) وأخوه (جاك), بيير كوري) وأخوه (جاك","من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو الكوارتز ؟
من هو مكتشف المرو أو",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:42+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_002,msa,direct,fanar,arabic_centric,كيف يتصل الجنين بالرحم ؟,عن طريق الحبل السري,"كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف يتصل الجنين بالرحم ؟
كيف",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:42+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_003,msa,direct,fanar,arabic_centric,أين يقع مسجد السلطان عبد المجيد؟,مدينة جبيل اللبنانية,"أين يقع مسجد السلطان عبد المجيد؟
أين يقع مسجد السلطان عبد المجيد؟
مسجد السلطان عبد المجيد هو مسجد تاريخي يقع في منطقة الفاتح في اسطنبول، تركيا.
تم بناء المسجد في عام 1863 خلال عهد السلطان عبد المجيد الأول، وهو من أشهر المساجد في اسطنبول.
يقع المسجد في منطقة الفاتح، وهي منطقة تاريخية في اسطنبول، وتضم العديد من المعالم التاريخية والثقافية الهامة.
يقع المسجد بالقرب من العديد من المعالم السياحية الهامة في اسطنبول، مثل قصر توبكابي، والمسجد الأزرق، والبازار الكبير.
يعتبر مسجد السلطان عبد المجيد من أهم المعالم السياحية في اسطنبول، ويجذب العديد من الزوار من جميع أنحاء العالم.
يعتبر المسجد من أهم المعالم التاريخية في اسطنبول، ويضم العديد من القطع الأثرية والتحف التاريخية الهامة.
يعتبر المسجد من أهم المعالم الدينية في اسطنبول، ويجذب العديد من المسلمين من جميع أنحاء العالم.
يعتبر المسجد من أهم المعالم الثقافية في اسطنبول، ويضم العديد من الفعاليات الثقافية والاجتماعية الهامة.
يعتبر المسجد من أهم المعالم السياحية في اسطنبول، ويجذب العديد من الزوار من جميع أنحاء العالم.
يعتبر المسجد من أهم المعالم التاريخية في اسطنبول، ويضم العديد من القطع الأثرية والتحف التاريخية الهامة.
يعتبر المسجد من أهم المعالم الدينية في اسطنبول، ويجذب العديد من المسلمين من جميع أنحاء العالم.
يعتبر المسجد من أهم المعالم الثقافية في اسطنبول، ويضم العديد من الفعاليات الثقافية والاجتماعية الهامة.
يعتبر المسجد من أهم المعالم السياحية في اسطنبول، ويجذب العديد من الزوار من جميع أنحاء العالم.
يعتبر المسجد من أهم المعالم التاريخية في اسطنبول، ويضم العديد من القطع الأثرية والتحف التاريخية الهامة.
يعتبر المسجد من أهم المعالم الدينية في اسطنبول، ويجذب العديد من المسلمين من جميع أنحاء العالم.
يعتبر المسجد من أهم المعالم الثق",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:42+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_004,msa,direct,fanar,arabic_centric,ما عاصمة جورجيا؟,تبليسي,"- موضوع
كتابة محمد أبو عريضة - آخر تحديث: ٠٩:٢٠ ، ١١ يونيو ٢٠١٨
١ ما عاصمة جورجيا؟
٢ معلومات عن جورجيا
٣ تاريخ جورجيا
٤ اقتصاد جورجيا
تُعرف جورجيا رسمياً باسم جمهورية جورجيا، وهي دولة تقع في منطقة القوقاز في غرب آسيا، وتُطل على البحر الأسود، وتُعدّ العاصمة تبليسي هي عاصمة جورجيا، وتُعتبر من أكبر المدن في جورجيا، وتقع على ضفاف نهر كورا، وتُعدّ من المدن القديمة في جورجيا، حيث يعود تاريخها إلى القرن الخامس قبل الميلاد، وتُعتبر من المدن التي تتمتع بمناخ معتدل، وتُعدّ من المدن التي تتمتع بالعديد من المعالم السياحية، مثل: قلعة ناريكالا، وكاتدرائية سمينا، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس نينو، وكاتدرائية القديس",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:42+00:00,,1.000,hallucinated,heavy_repetition,,hallucinated,1
wahm_005,msa,direct,fanar,arabic_centric,ما هو عدد آيات سورة الكهف ؟,110,"ما هو عدد آيات سورة الكهف ؟
سورة الكهف هي سورة مكية، نزلت بعد سورة النحل، وهي من السور المكية، وتحتوي على 110 آيات، وهي السورة الثامنة عشرة من القرآن الكريم، وتعد من السور الطويلة، وتحتوي على العديد من القصص والأحداث التي حدثت في الماضي، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في الإسلام، وتحتوي على العديد من الآيات التي تحث على الصبر والثبات على الحق، وتعد من السور التي لها أهمية كبيرة في",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:42+00:00,,1.000,clean,,,clean,0
wahm_006,msa,direct,fanar,arabic_centric,ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟,أثناء نومه,"ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما سبب وفاة لاعب كمال الأجسام ناصر السنباطي؟
ما",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:42+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_007,msa,direct,fanar,arabic_centric,من هو مخترع المحرك البخاري؟,جيمس واط,"من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك البخاري؟
من هو مخترع المحرك",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:42+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_008,msa,direct,fanar,arabic_centric,متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟,14 أيار / مايو 1948,"متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
متى تمت كتابة وثيقة إعلان قيام دولة إسرائيل ؟
مت",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:42+00:00,,0.000,hallucinated,,,hallucinated,1
wahm_009,msa,direct,fanar,arabic_centric,ما كان إسم حصان الرسول صلي الله عليه وسلم ؟,البراق,"ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما كان إسم حصان الرسول صلي الله عليه وسلم ؟
ما",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:40:42+00:00,,0.000,hallucinated,,,hallucinated,1
